lang,algo,n,run,tempo_ms
java,bubble,1000,1,7.3799
java,bubble,1000,2,6.9900
java,bubble,1000,3,7.8366
java,bubble,1000,4,7.4077
java,bubble,1000,5,7.2104
java,bubble,10000,1,156.7238
java,bubble,10000,2,155.1089
java,bubble,10000,3,156.6222
java,bubble,10000,4,158.5799
java,bubble,10000,5,156.6850
java,bubble,100000,1,26299.7689
java,bubble,100000,2,26629.3136
java,bubble,100000,3,27208.8577
java,bubble,100000,4,26751.9093
java,bubble,100000,5,25453.1766
java,bubble,200000,1,71255.0677
java,bubble,200000,2,74086.8782
java,bubble,200000,3,73374.4549
java,bubble,200000,4,70831.1910
java,bubble,200000,5,71058.2470
java,selection,1000,1,1.6948
java,selection,1000,2,1.6986
java,selection,1000,3,3.5811
java,selection,1000,4,1.6777
java,selection,1000,5,3.6471
java,selection,10000,1,38.8043
java,selection,10000,2,38.4250
java,selection,10000,3,39.4275
java,selection,10000,4,39.0544
java,selection,10000,5,38.6443
java,selection,100000,1,3780.4370
java,selection,100000,2,3949.5991
java,selection,100000,3,3651.5360
java,selection,100000,4,3928.3851
java,selection,100000,5,4286.1997
java,selection,200000,1,14456.4181
java,selection,200000,2,15847.0447
java,selection,200000,3,14274.3081
java,selection,200000,4,15715.1217
java,selection,200000,5,15891.9411
