lang,algo,n,run,tempo_ms
python,bubble,1000,1,49.6167
python,bubble,1000,2,50.0154
python,bubble,1000,3,53.9594
python,bubble,1000,4,55.1149
python,bubble,1000,5,55.1809
python,bubble,10000,1,6503.3780
python,bubble,10000,2,2673.9160
python,bubble,10000,3,2740.4082
python,bubble,10000,4,2760.5216
python,bubble,10000,5,2801.1653
python,selection,1000,1,9.9630
python,selection,1000,2,9.5706
python,selection,1000,3,10.9417
python,selection,1000,4,9.7065
python,selection,1000,5,9.7498
python,selection,10000,1,1120.3234
python,selection,10000,2,1226.2609
python,selection,10000,3,1295.1202
python,selection,10000,4,1332.9126
python,selection,10000,5,1296.2791
python,bubble,100000,1,354093.3109
python,bubble,100000,2,298467.2781
python,bubble,100000,3,287635.5014
python,bubble,100000,1,277614.7346
python,bubble,100000,2,271605.7340
python,bubble,100000,3,273844.3472
python,bubble,200000,1,1146769.7359
python,bubble,200000,2,1166939.4138
python,bubble,200000,3,1129409.6215
python,bubble,200000,4,1123891.7765
python,bubble,200000,5,1125475.3285
python,selection,100000,1,115181.0768
python,selection,100000,2,115131.4205
python,selection,100000,3,114572.7444
python,selection,100000,4,114577.3383
python,selection,100000,5,115550.4474
python,selection,200000,1,475504.2861
python,selection,200000,2,475492.4928
python,selection,200000,3,478503.8389
python,selection,200000,4,475435.3137
python,selection,200000,5,474564.8646
